 'tryton/binutils/2.34' load complete.
 'tryton/compiler/gcc/7.4' load complete.
 'tryton/python3/3.5.6' load complete.

Loading tryton/python3/3.5.6
  Loading requirement: tryton/binutils/2.34 tryton/compiler/gcc/7.4
iter.      J_T    ∫gₐ(t)dt          J       ΔJ_T         ΔJ  secs
74    1.00e+00    4.10e-11   1.00e+00  -8.23e-11  -4.13e-11    12
75    1.00e+00    4.16e-11   1.00e+00  -8.34e-11  -4.18e-11    13
76    1.00e+00    4.21e-11   1.00e+00  -8.45e-11  -4.24e-11    12
77    1.00e+00    4.27e-11   1.00e+00  -8.56e-11  -4.29e-11    13
78    1.00e+00    4.32e-11   1.00e+00  -8.67e-11  -4.35e-11    12
79    1.00e+00    4.38e-11   1.00e+00  -8.79e-11  -4.41e-11    13
80    1.00e+00    4.44e-11   1.00e+00  -8.91e-11  -4.47e-11    12
81    1.00e+00    4.50e-11   1.00e+00  -9.02e-11  -4.53e-11    13
82    1.00e+00    4.56e-11   1.00e+00  -9.15e-11  -4.59e-11    12
83    1.00e+00    4.62e-11   1.00e+00  -9.27e-11  -4.65e-11    13
84    1.00e+00    4.68e-11   1.00e+00  -9.39e-11  -4.71e-11    12
85    1.00e+00    4.74e-11   1.00e+00  -9.52e-11  -4.77e-11    13
86    1.00e+00    4.81e-11   1.00e+00  -9.64e-11  -4.84e-11    12
87    1.00e+00    4.87e-11   1.00e+00  -9.77e-11  -4.90e-11    13
88    1.00e+00    4.94e-11   1.00e+00  -9.90e-11  -4.97e-11    12
89    1.00e+00    5.00e-11   1.00e+00  -1.00e-10  -5.03e-11    13
90    1.00e+00    5.07e-11   1.00e+00  -1.02e-10  -5.10e-11    12
91    1.00e+00    5.14e-11   1.00e+00  -1.03e-10  -5.17e-11    13
92    1.00e+00    5.20e-11   1.00e+00  -1.04e-10  -5.24e-11    12
93    1.00e+00    5.27e-11   1.00e+00  -1.06e-10  -5.31e-11    13
94    1.00e+00    5.34e-11   1.00e+00  -1.07e-10  -5.38e-11    12
95    1.00e+00    5.41e-11   1.00e+00  -1.09e-10  -5.45e-11    13
96    1.00e+00    5.49e-11   1.00e+00  -1.10e-10  -5.52e-11    12
97    1.00e+00    5.56e-11   1.00e+00  -1.12e-10  -5.59e-11    13
98    1.00e+00    5.63e-11   1.00e+00  -1.13e-10  -5.67e-11    12
99    1.00e+00    5.71e-11   1.00e+00  -1.15e-10  -5.74e-11    13
100   1.00e+00    5.79e-11   1.00e+00  -1.16e-10  -5.82e-11    12
101   1.00e+00    5.86e-11   1.00e+00  -1.18e-10  -5.90e-11    13
102   1.00e+00    5.94e-11   1.00e+00  -1.19e-10  -5.98e-11    12
103   1.00e+00    6.02e-11   1.00e+00  -1.21e-10  -6.06e-11    13
104   1.00e+00    6.10e-11   1.00e+00  -1.22e-10  -6.14e-11    12
105   1.00e+00    6.18e-11   1.00e+00  -1.24e-10  -6.22e-11    13
106   1.00e+00    6.26e-11   1.00e+00  -1.26e-10  -6.30e-11    12
107   1.00e+00    6.35e-11   1.00e+00  -1.27e-10  -6.39e-11    13
108   1.00e+00    6.43e-11   1.00e+00  -1.29e-10  -6.47e-11    13
109   1.00e+00    6.52e-11   1.00e+00  -1.31e-10  -6.56e-11    13
